Akademmistechko,Zhytomyrska,Sviatoshyn,Nyvky,Beresteiska,Shuliavska,Politekhnichnyi_Instytut,Vokzalna,Universytet,Teatralna,Jreshchatyk,Arsenalna,Dnipro,Hidropark,Livoberezhna,Darnytsia,Chernihivska,Lisova,Heroiv_Dnipra,Minska,Obolon,Pochaina,Tarasa_Sevchenka,Kontraktova_Polscha,Poschtova_Polscha,Maidan_Nezalezhnosti,Ploshcha_Lva_Tolstoho,Olimpiiska,Palats_Ukrania,Lybidska,Demiivska,Holosiivska,Vasylkiivska,Vystavkovyi_Tsentr,Ipodrom,Teremki,Syrets,Dorogozhychi,Lukianivska,Zoloti_Vorota,Palats_Sportu,Klovska,Pecherska,Druzhby_Narodiv,Vydubychi,Slavutych,Osokorky,Pozniaky,Jarkivska,Vyrlytsia,Boryspilska,Chervony_Jutir
Dnipro,14.7,13.7,12.08,11.15,10.16,7.97,6.82,4.92,3.88,3.15,2.62,0.88411,0,1.35,2.99,4.13,5.44,6.64,10.02,8.99,7.98,6.62,5.35,4.16,3.18,2.62,2.83,3.2,3.51,3.89,5.05,6.07,7.33,8.73,9.63,11.11,9.79,8.59,5.8,3.15,2.83,2.01,2.1,2.83,4.38,6.14,6.51,7.2,7.97,8.73,9.81,10.32
Hidropark,15.85,15.01,13.27,12.29,11.3,9.13,7.99,6.19,5.12,4.36,3.76,2.13,1.35,0,1.64,2.78,4.08,5.29,10.16,9.22,8.31,7.15,6.04,4.9,4,3.76,4.13,4.55,4.83,5.12,6.25,7.27,8.59,9.97,10.87,12.35,10.76,9.54,6.81,4.36,4.13,3.34,3.37,3.84,5.05,6.09,6.29,6.74,7.34,7.97,8.97,9.38
Livoberezhna,17.28,16.49,14.71,13.74,12.74,10.6,9.48,7.75,6.69,5.91,5.28,3.74,2.99,1.64,0,1.14,2.44,3.65,10.56,9.73,8.97,8.05,7.12,6.09,5.29,5.28,5.73,6.19,6.45,6.69,7.78,8.79,10.15,11.52,12.41,13.89,12.03,10.82,8.17,5.91,5.73,4.98,4.98,5.29,6.17,6.43,6.42,6.54,6.85,7.3,8.14,8.39
Darnytsia,18.28,17.53,15.75,14.77,13.77,11.64,10.54,8.86,7.8,7.02,6.38,4.88,4.13,2.78,1.14,0,1.3,2.5,10.97,10.23,9.57,8.81,7.98,7.02,6.28,6.38,6.86,7.34,7.58,7.79,8.87,9.87,11.25,12.6,13.5,14.98,12.96,11.76,9.17,7.02,6.86,6.12,6.11,6.35,7.08,6.88,6.75,6.64,6.74,7.02,7.73,7.83
Chernihivska,19.49,18.77,16.97,15.99,14.99,12.88,11.79,10.15,9.09,8.3,7.66,6.17,5.44,4.08,2.44,1.3,0,1.21,11.63,10.99,10.42,9.81,9.09,8.19,7.49,7.66,8.16,8.64,8.86,9.05,10.11,11.09,12.49,13.83,14.72,16.19,14.1,12.91,10.38,8.3,8.16,7.42,7.39,7.57,8.13,7.52,7.25,6.91,6.76,6.85,7.36,7.3
Lisova,20.56,19.68,18.06,17.09,16.07,13.99,12.92,11.32,10.26,9.47,8.82,7.37,6.64,5.29,3.65,2.5,1.21,0,12.22,11.67,11.2,10.72,10.09,9.24,8.6,8.82,9.35,9.84,10.06,10.24,11.29,12.27,13.68,15.01,15.9,17.37,15.12,13.94,11.47,9.47,9.35,8.62,8.59,8.74,9.23,8.34,8,7.47,7.13,7.03,7.35,7.11
Heroiv_Dnipra,12.03,11.98,10.53,9.76,9.05,8.4,8.33,9.07,8.58,8.68,8.52,9.49,10.02,10.16,10.56,10.97,11.63,12.22,0,1.17,2.36,4.07,5.43,6.42,7.28,8.52,9.35,10.25,11.37,12.23,13.18,13.96,14.41,15.67,16.39,17.59,6.93,6.52,6.93,8.68,9.35,9.82,11,12.24,14.13,16.14,16.43,16.89,17.37,17.86,18.67,18.81
Minska,11.42,11.3,9.74,8.94,8.16,7.35,7.21,7.9,7.68,7.54,7.39,8.42,8.99,9.22,9.73,10.23,10.99,11.67,1.17,0,1.19,2.91,4.27,5.28,6.17,7.39,8.2,9.1,10.22,11.09,12.02,12.79,13.24,14.51,15.24,16.44,6.1,5.55,5.78,7.54,8.2,8.7,9.88,11.14,13.04,15.13,15.45,15.96,16.5,17.02,17.88,18.07
Obolon,10.91,10.67,9.03,8.17,7.34,6.32,6.1,6.72,6.49,6.36,6.24,7.36,7.98,8.31,8.97,9.57,10.42,11.2,2.36,1.19,0,1.72,3.09,4.13,5.05,6.24,7.04,7.92,9.05,9.92,10.84,11.6,12.06,13.33,14.05,15.27,5.39,4.68,4.61,6.36,7.04,7.56,8.76,10.02,11.93,14.12,14.48,15.05,15.64,16.21,17.11,17.36
Pochaina,10.38,9.95,8.22,7.28,6.34,4.97,4.56,5.01,4.78,4.69,4.64,5.92,6.62,7.15,8.05,8.81,9.81,10.72,4.07,2.91,1.72,0,1.41,2.55,3.53,4.64,5.38,6.24,7.37,8.24,9.14,9.89,10.34,11.62,12.35,13.59,4.72,3.72,2.95,4.69,5.38,5.97,7.17,8.45,10.37,12.72,13.13,13.79,14.48,15.13,16.09,16.43
